ID ligne,ID commande,Date de commande,Date d'expédition,Mode d'expédition,ID client,Nom du client,Segment,Pays/région,Ville,État/Province,Région de vente,ID produit,Catégorie,Sous-catégorie,Nom du produit,Montant des ventes,Quantité,Remise,Profit
6,US-2015-115812,6/9/2015,6/14/2015,Tarif normal,BH-11710,Brosina Hoffman,Grand public,États-Unis,Los Angeles,Californie,USCA - Ouest,FUR-FU-10001487,Mobilier,Meubles,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0,14.169
7,US-2015-115812,6/9/2015,6/14/2015,Tarif normal,BH-11710,Brosina Hoffman,Grand public,États-Unis,Los Angeles,Californie,USCA - Ouest,OFF-AR-10002833,Fournitures de bureau,Art,Newell 322,7.28,4,0,1.966
8,US-2015-115812,6/9/2015,6/14/2015,Tarif normal,BH-11710,Brosina Hoffman,Grand public,États-Unis,Los Angeles,Californie,USCA - Ouest,TEC-PH-10002275,Produits technologiques,Téléphones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.72
9,US-2015-115812,6/9/2015,6/14/2015,Tarif normal,BH-11710,Brosina Hoffman,Grand public,États-Unis,Los Angeles,Californie,USCA - Ouest,OFF-BI-10003910,Fournitures de bureau,Classeurs,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.78
10,US-2015-115812,6/9/2015,6/14/2015,Tarif normal,BH-11710,Brosina Hoffman,Grand public,États-Unis,Los Angeles,Californie,USCA - Ouest,OFF-AP-10002892,Fournitures de bureau,Électroménager,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0,34.47
11,US-2015-115812,6/9/2015,6/14/2015,Tarif normal,BH-11710,Brosina Hoffman,Grand public,États-Unis,Los Angeles,Californie,USCA - Ouest,FUR-TA-10001539,Mobilier,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.31
12,US-2015-115812,6/9/2015,6/14/2015,Tarif normal,BH-11710,Brosina Hoffman,Grand public,États-Unis,Los Angeles,Californie,USCA - Ouest,TEC-PH-10002033,Produits technologiques,Téléphones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.36
17,US-2015-105893,11/11/2015,11/18/2015,Tarif normal,PK-19075,Pete Kriz,Grand public,États-Unis,Madison,Wisconsin,USCA - Centre,OFF-ST-10004186,Fournitures de bureau,Stockage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0,13.32
18,US-2015-167164,5/13/2015,5/15/2015,J+2,AG-10270,Alejandro Grove,Grand public,États-Unis,West Jordan,Utah,USCA - Ouest,OFF-ST-10000107,Fournitures de bureau,Stockage,Fellowes Super Stor/Drawer,55.5,2,0,9.99
19,US-2015-143336,8/27/2015,9/1/2015,J+2,ZD-21925,Zuschuss Donatelli,Grand public,États-Unis,San Francisco,Californie,USCA - Ouest,OFF-AR-10003056,Fournitures de bureau,Art,Newell 341,8.56,2,0,2.48
20,US-2015-143336,8/27/2015,9/1/2015,J+2,ZD-21925,Zuschuss Donatelli,Grand public,États-Unis,San Francisco,Californie,USCA - Ouest,TEC-PH-10001949,Produits technologiques,Téléphones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.01
21,US-2015-143336,8/27/2015,9/1/2015,J+2,ZD-21925,Zuschuss Donatelli,Grand public,États-Unis,San Francisco,Californie,USCA - Ouest,OFF-BI-10002215,Fournitures de bureau,Classeurs,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.38
47,US-2015-146703,10/20/2015,10/25/2015,J+2,PO-18865,Patrick O'Donnell,Grand public,États-Unis,Westland,Michigan,USCA - Centre,OFF-ST-10001713,Fournitures de bureau,Stockage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0,8.48
68,US-2015-106376,12/5/2015,12/10/2015,Tarif normal,BS-11590,Brendan Sweed,Entreprise,États-Unis,Gilbert,Arizona,USCA - Ouest,OFF-AR-10002671,Fournitures de bureau,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.02,8,0.2,111.3
69,US-2015-106376,12/5/2015,12/10/2015,Tarif normal,BS-11590,Brendan Sweed,Entreprise,États-Unis,Gilbert,Arizona,USCA - Ouest,TEC-PH-10002726,Produits technologiques,Téléphones,netTALK DUO VoIP Telephone Service,167.97,4,0.2,62.99
