ID ligne,ID commande,Date de commande,Date d'expédition,Mode d'expédition,ID client,Nom du client,Segment,Pays/région,Ville,État/Province,Région de vente,ID produit,Catégorie,Sous-catégorie,Nom du produit,Montant des ventes,Quantité,Remise,Profit
13,US-2018-114412,4/15/2018,4/20/2018,Tarif normal,AA-10480,Andrew Allen,Grand public,États-Unis,Concord,Caroline du Nord,USCA - Sud,OFF-PA-10002365,Fournitures de bureau,Papier,Xerox 1967,15.55,3,0.2,5.44
24,US-2018-156909,7/16/2018,7/18/2018,J+2,SF-20065,Sandra Flanagan,Grand public,États-Unis,Philadelphia,Pennsylvanie,USCA - Est,FUR-CH-10002774,Mobilier,Chaises,"Global Deluxe Stacking Chair, Gray",71.37,2,0.3,-1.02
35,US-2018-107727,10/19/2018,10/23/2018,J+2,MA-17560,Matt Abelman,Bureau à domicile,États-Unis,Houston,Texas,USCA - Centre,OFF-PA-10000249,Fournitures de bureau,Papier,Easy-staple paper,29.47,3,0.2,9.95
42,US-2018-120999,9/10/2018,9/15/2018,Tarif normal,LC-16930,Linda Cazamias,Entreprise,États-Unis,Naperville,Illinois,USCA - Centre,TEC-PH-10004093,Produits technologiques,Téléphones,Panasonic Kx-TS550,147.17,4,0.2,16.56
44,US-2018-139619,9/19/2018,9/23/2018,Tarif normal,ES-14080,Erin Smith,Entreprise,États-Unis,Melbourne,Floride,USCA - Sud,OFF-ST-10003282,Fournitures de bureau,Stockage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.62,2,0.2,9.56
72,US-2018-114440,9/14/2018,9/17/2018,J+2,TB-21520,Tracy Blumstein,Grand public,États-Unis,Jackson,Michigan,USCA - Centre,OFF-PA-10004675,Fournitures de bureau,Papier,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0,8.76
76,US-2018-118038,12/9/2018,12/11/2018,Prioritaire,KB-16600,Ken Brennan,Entreprise,États-Unis,Houston,Texas,USCA - Centre,OFF-BI-10004182,Fournitures de bureau,Classeurs,Economy Binders,1.25,3,0.8,-1.93
77,US-2018-118038,12/9/2018,12/11/2018,Prioritaire,KB-16600,Ken Brennan,Entreprise,États-Unis,Houston,Texas,USCA - Centre,FUR-FU-10000260,Mobilier,Meubles,"6"" Cubicle Wall Clock, Black",9.71,3,0.6,-5.82
78,US-2018-118038,12/9/2018,12/11/2018,Prioritaire,KB-16600,Ken Brennan,Entreprise,États-Unis,Houston,Texas,USCA - Centre,OFF-ST-10000615,Fournitures de bureau,Stockage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.72
85,US-2018-119662,11/13/2018,11/16/2018,Prioritaire,CS-12400,Christopher Schild,Bureau à domicile,États-Unis,Chicago,Illinois,USCA - Centre,OFF-ST-10003656,Fournitures de bureau,Stockage,Safco Industrial Wire Shelving,230.38,3,0.2,-48.95
