ID ligne,ID commande,Date de commande,Date d'expédition,Mode d'expédition,ID client,Nom du client,Segment,Pays/région,Ville,État/Province,Région de vente,ID produit,Catégorie,Sous-catégorie,Nom du produit,Montant des ventes,Quantité,Remise,Profit
4,US-2016-108966,10/11/2016,10/18/2016,Tarif normal,SO-20335,Sean O'Donnell,Grand public,États-Unis,Fort Lauderdale,Floride,USCA - Sud,FUR-TA-10000577,Mobilier,Tables,Bretford CR4500 Series Slim Rectangular Table,957.58,5,0.5,-383.03
5,US-2016-108966,10/11/2016,10/18/2016,Tarif normal,SO-20335,Sean O'Donnell,Grand public,États-Unis,Fort Lauderdale,Floride,USCA - Sud,OFF-ST-10000760,Fournitures de bureau,Stockage,Eldon Fold 'N Roll Cart System,22.37,2,0.2,2.52
15,US-2016-118983,11/22/2016,11/26/2016,Tarif normal,HP-14815,Harold Pawlan,Bureau à domicile,États-Unis,Fort Worth,Texas,USCA - Centre,OFF-AP-10002311,Fournitures de bureau,Électroménager,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.86
16,US-2016-118983,11/22/2016,11/26/2016,Tarif normal,HP-14815,Harold Pawlan,Bureau à domicile,États-Unis,Fort Worth,Texas,USCA - Centre,OFF-BI-10000756,Fournitures de bureau,Classeurs,Storex DuraTech Recycled Plastic Frosted Binders,2.54,3,0.8,-3.82
25,US-2016-106320,9/25/2016,9/28/2016,Tarif normal,EB-13870,Emily Burns,Grand public,États-Unis,Orem,Utah,USCA - Ouest,FUR-TA-10000577,Mobilier,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0,240.26
28,US-2016-150630,9/17/2016,9/21/2016,Tarif normal,TB-21520,Tracy Blumstein,Grand public,États-Unis,Philadelphia,Pennsylvanie,USCA - Est,FUR-BO-10004834,Mobilier,Bibliothèques,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.05
29,US-2016-150630,9/17/2016,9/21/2016,Tarif normal,TB-21520,Tracy Blumstein,Grand public,États-Unis,Philadelphia,Pennsylvanie,USCA - Est,OFF-BI-10000474,Fournitures de bureau,Classeurs,Avery Recycled Flexi-View Covers for Binding Systems,9.62,2,0.7,-7.05
30,US-2016-150630,9/17/2016,9/21/2016,Tarif normal,TB-21520,Tracy Blumstein,Grand public,États-Unis,Philadelphia,Pennsylvanie,USCA - Est,FUR-FU-10004848,Mobilier,Meubles,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.53
31,US-2016-150630,9/17/2016,9/21/2016,Tarif normal,TB-21520,Tracy Blumstein,Grand public,États-Unis,Philadelphia,Pennsylvanie,USCA - Est,OFF-EN-10001509,Fournitures de bureau,Enveloppes,Poly String Tie Envelopes,3.26,2,0.2,1.1
32,US-2016-150630,9/17/2016,9/21/2016,Tarif normal,TB-21520,Tracy Blumstein,Grand public,États-Unis,Philadelphia,Pennsylvanie,USCA - Est,OFF-AR-10004042,Fournitures de bureau,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.3,6,0.2,9.71
33,US-2016-150630,9/17/2016,9/21/2016,Tarif normal,TB-21520,Tracy Blumstein,Grand public,États-Unis,Philadelphia,Pennsylvanie,USCA - Est,OFF-BI-10001525,Fournitures de bureau,Classeurs,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.86,6,0.7,-5.72
34,US-2016-150630,9/17/2016,9/21/2016,Tarif normal,TB-21520,Tracy Blumstein,Grand public,États-Unis,Philadelphia,Pennsylvanie,USCA - Est,OFF-AR-10001683,Fournitures de bureau,Art,Lumber Crayons,15.76,2,0.2,3.55
38,US-2016-117415,12/27/2016,12/30/2016,Tarif normal,SN-20710,Steve Nguyen,Bureau à domicile,États-Unis,Houston,Texas,USCA - Centre,OFF-EN-10002986,Fournitures de bureau,Enveloppes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.33,9,0.2,35.42
39,US-2016-117415,12/27/2016,12/30/2016,Tarif normal,SN-20710,Steve Nguyen,Bureau à domicile,États-Unis,Houston,Texas,USCA - Centre,FUR-BO-10002545,Mobilier,Bibliothèques,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.4,3,0.3,-46.98
40,US-2016-117415,12/27/2016,12/30/2016,Tarif normal,SN-20710,Steve Nguyen,Bureau à domicile,États-Unis,Houston,Texas,USCA - Centre,FUR-CH-10004218,Mobilier,Chaises,"Global Fabric Manager's Chair, Dark Gray",212.06,3,0.3,-15.15
41,US-2016-117415,12/27/2016,12/30/2016,Tarif normal,SN-20710,Steve Nguyen,Bureau à domicile,États-Unis,Houston,Texas,USCA - Centre,TEC-PH-10000486,Produits technologiques,Téléphones,Plantronics HL10 Handset Lifter,371.17,4,0.2,41.76
50,US-2016-115742,4/18/2016,4/22/2016,Tarif normal,DP-13000,Darren Powers,Grand public,États-Unis,New Albany,Indiana,USCA - Centre,OFF-BI-10004410,Fournitures de bureau,Classeurs,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0,17.96
51,US-2016-115742,4/18/2016,4/22/2016,Tarif normal,DP-13000,Darren Powers,Grand public,États-Unis,New Albany,Indiana,USCA - Centre,OFF-LA-10002762,Fournitures de bureau,Étiquettes,Avery 485,75.18,6,0,35.33
52,US-2016-115742,4/18/2016,4/22/2016,Tarif normal,DP-13000,Darren Powers,Grand public,États-Unis,New Albany,Indiana,USCA - Centre,FUR-FU-10001706,Mobilier,Meubles,Longer-Life Soft White Bulbs,6.16,2,0,2.96
53,US-2016-115742,4/18/2016,4/22/2016,Tarif normal,DP-13000,Darren Powers,Grand public,États-Unis,New Albany,Indiana,USCA - Centre,FUR-CH-10003061,Mobilier,Chaises,"Global Leather Task Chair, Black",89.99,1,0,17.1
63,US-2016-135545,11/24/2016,11/27/2016,Tarif normal,KM-16720,Kunst Miller,Grand public,États-Unis,Los Angeles,Californie,USCA - Ouest,TEC-AC-10004633,Produits technologiques,Accessoires,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0,6.15
64,US-2016-135545,11/24/2016,11/27/2016,Tarif normal,KM-16720,Kunst Miller,Grand public,États-Unis,Los Angeles,Californie,USCA - Ouest,OFF-BI-10001078,Fournitures de bureau,Classeurs,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.82,6,0.2,9.36
65,US-2016-135545,11/24/2016,11/27/2016,Tarif normal,KM-16720,Kunst Miller,Grand public,États-Unis,Los Angeles,Californie,USCA - Ouest,OFF-PA-10003892,Fournitures de bureau,Papier,Xerox 1943,146.73,3,0,68.96
66,US-2016-135545,11/24/2016,11/27/2016,Tarif normal,KM-16720,Kunst Miller,Grand public,États-Unis,Los Angeles,Californie,USCA - Ouest,FUR-FU-10000397,Mobilier,Meubles,Luxo Economy Swing Arm Lamp,79.76,4,0,22.33
67,US-2016-164175,1/21/2016,1/24/2016,Tarif normal,PS-18970,Paul Stevenson,Bureau à domicile,États-Unis,Chicago,Illinois,USCA - Centre,FUR-CH-10001146,Mobilier,Chaises,"Global Value Mid-Back Manager's Chair, Gray",213.12,5,0.3,-15.22
73,US-2016-134026,4/26/2016,5/2/2016,Tarif normal,JE-15745,Joel Eaton,Grand public,États-Unis,Memphis,Tennessee,USCA - Sud,FUR-CH-10000513,Mobilier,Chaises,High-Back Leather Manager's Chair,831.94,8,0.2,-114.39
74,US-2016-134026,4/26/2016,5/2/2016,Tarif normal,JE-15745,Joel Eaton,Grand public,États-Unis,Memphis,Tennessee,USCA - Sud,FUR-FU-10003708,Mobilier,Meubles,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.21
75,US-2016-134026,4/26/2016,5/2/2016,Tarif normal,JE-15745,Joel Eaton,Grand public,États-Unis,Memphis,Tennessee,USCA - Sud,OFF-ST-10004123,Fournitures de bureau,Stockage,Safco Industrial Wire Shelving System,72.78,1,0.2,-18.2
84,US-2016-149734,9/3/2016,9/8/2016,Tarif normal,JC-16105,Julie Creighton,Entreprise,États-Unis,Durham,Caroline du Nord,USCA - Sud,OFF-EN-10000927,Fournitures de bureau,Enveloppes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.98,7,0.2,62.81
93,US-2016-149587,2/3/2016,2/5/2016,J+2,KB-16315,Karl Braun,Grand public,États-Unis,Minneapolis,Minnesota,USCA - Centre,OFF-PA-10003177,Fournitures de bureau,Papier,Xerox 1999,12.96,2,0,6.22
94,US-2016-149587,2/3/2016,2/5/2016,J+2,KB-16315,Karl Braun,Grand public,États-Unis,Minneapolis,Minnesota,USCA - Centre,FUR-FU-10003799,Mobilier,Meubles,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0,16.54
95,US-2016-149587,2/3/2016,2/5/2016,J+2,KB-16315,Karl Braun,Grand public,États-Unis,Minneapolis,Minnesota,USCA - Centre,OFF-BI-10002852,Fournitures de bureau,Classeurs,Ibico Standard Transparent Covers,32.96,2,0,16.15
104,US-2016-156867,11/13/2016,11/17/2016,Tarif normal,LC-16870,Lena Cacioppo,Grand public,États-Unis,Aurora,Colorado,USCA - Ouest,TEC-AC-10001552,Produits technologiques,Accessoires,Logitech K350 2.4Ghz Wireless Keyboard,238.9,6,0.2,-26.88
105,US-2016-156867,11/13/2016,11/17/2016,Tarif normal,LC-16870,Lena Cacioppo,Grand public,États-Unis,Aurora,Colorado,USCA - Ouest,FUR-FU-10004006,Mobilier,Meubles,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,0.2,-3.84
106,US-2016-156867,11/13/2016,11/17/2016,Tarif normal,LC-16870,Lena Cacioppo,Grand public,États-Unis,Aurora,Colorado,USCA - Ouest,OFF-BI-10002794,Fournitures de bureau,Classeurs,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.88,3,0.7,-25.82
110,US-2016-129476,10/15/2016,10/20/2016,Tarif normal,PA-19060,Pete Armstrong,Bureau à domicile,États-Unis,Orland Park,Illinois,USCA - Centre,TEC-AC-10000844,Produits technologiques,Accessoires,Logitech Gaming G510s - Keyboard,339.96,5,0.2,67.99
118,US-2016-110457,3/2/2016,3/6/2016,Tarif normal,DK-13090,Dave Kipp,Grand public,États-Unis,Seattle,Washington,USCA - Ouest,FUR-TA-10001768,Mobilier,Tables,Hon Racetrack Conference Tables,787.53,3,0,165.38
119,US-2016-136476,4/5/2016,4/10/2016,Tarif normal,GG-14650,Greg Guthrie,Entreprise,États-Unis,Bristol,Tennessee,USCA - Sud,OFF-BI-10003650,Fournitures de bureau,Classeurs,GBC DocuBind 300 Electric Binding Machine,157.79,1,0.7,-115.72
146,US-2016-110744,9/7/2016,9/12/2016,Tarif normal,HA-14920,Helen Andreada,Grand public,États-Unis,Pasadena,Californie,USCA - Ouest,OFF-ST-10003656,Fournitures de bureau,Stockage,Safco Industrial Wire Shelving,671.93,7,0,20.16
154,US-2016-124919,2/21/2016,2/24/2016,Prioritaire,SP-20650,Stephanie Phelps,Entreprise,États-Unis,San Jose,Californie,USCA - Ouest,OFF-PA-10001950,Fournitures de bureau,Papier,Southworth 25% Cotton Antique Laid Paper & Envelopes,58.38,7,0,26.27
155,US-2016-124919,2/21/2016,2/24/2016,Prioritaire,SP-20650,Stephanie Phelps,Entreprise,États-Unis,San Jose,Californie,USCA - Ouest,OFF-PA-10002254,Fournitures de bureau,Papier,Xerox 1883,105.52,4,0,48.54
156,US-2016-124919,2/21/2016,2/24/2016,Prioritaire,SP-20650,Stephanie Phelps,Entreprise,États-Unis,San Jose,Californie,USCA - Ouest,OFF-ST-10001590,Fournitures de bureau,Stockage,"Tenex Personal Project File with Scoop Front Design, Black",80.88,6,0,21.03
157,US-2016-118948,5/28/2016,6/3/2016,Tarif normal,NK-18490,Neil Knudson,Bureau à domicile,États-Unis,Seattle,Washington,USCA - Ouest,OFF-AR-10001547,Fournitures de bureau,Art,Newell 311,6.63,3,0,1.79
162,US-2016-119697,12/28/2016,12/31/2016,J+2,EM-13960,Eric Murdock,Grand public,États-Unis,Philadelphia,Pennsylvanie,USCA - Est,TEC-AC-10003657,Produits technologiques,Accessoires,Lenovo 17-Key USB Numeric Keypad,54.38,2,0.2,1.36
178,US-2016-101511,11/21/2016,11/23/2016,J+2,JE-15745,Joel Eaton,Grand public,États-Unis,Newark,Ohio,USCA - Est,FUR-CH-10004698,Mobilier,Chaises,"Padded Folding Chairs, Black, 4/Carton",396.8,7,0.3,-11.34
